edge,daily,liq,spread,comp,dte,price,vol24,max_spread,min_size,q,cid
1.92,15.0,6827.0,0.04,0.917,26,0.2,1813.0,4.5,100,Will 60 ships transit the Strait of Hormuz on any day by,0xc38b96e6fb12fc68d003ff326f2a11eb3c8f04c2fce7fcfc9d62f5e18131817c
1.91,15.0,6868.0,0.01,0.894,210,0.155,578.0,4.5,100,Will Lebanon recognize Israel by December 31?,0x5f3dabeb8d8174eff4a17c94d6396b7e5f71a2ba60a474f53dc69e6a493cbfe3
1.89,30.0,14905.0,0.01,0.882,210,0.135,1023.0,3.5,200,Will Oman join the Abraham Accords before 2027?,0xc1bd3bfadea871e846ad2e7a09cdf56da632137a4d5e96da08b0134975ce4237
1.88,20.0,9665.0,0.04,0.969,576,0.32,461.0,4.5,20,Tread FDV above $80M one day after launch,0xe8da89e5a6daede04f1fc3ce3f3957370b50552e176dc27c2a37c4d60bf76134
1.85,20.0,9828.0,0.02,0.88,576,0.13,2756.0,4.5,20,Tread FDV above $200M one day after launch,0xbc7262627faf106767a07c52341eddc20653a8f04d5aee5f6a8254bed9d6f685
1.85,15.0,7095.0,0.02,0.937,26,0.24,696.0,4.5,100,Will 40 ships transit the Strait of Hormuz on any day by,0xb2a1c0c2a5ddd15fb8ba2dea1a808ef32c61108bb1a5911281006e8076b6714b
1.84,20.0,9862.0,0.01,0.963,576,0.305,201.0,4.5,20,Tread FDV above $100M one day after launch,0x00cb87d62e4a2668754fc58ed8f1462393c516794b2eca2d7991d3d0a043ab0e
1.83,10.0,4470.0,0.04,0.981,12,0.635,3624.0,4.5,200,Will the Bank of Brazil decrease the Selic rate after Ju,0xa68cd3b1f9fa774651b49a0679fe8d68e8dbf7d1b30d8bf4e9525704d0e72718
1.81,500.0,275323.0,0.01,0.915,26,0.195,380758.0,3.5,200,Strait of Hormuz traffic returns to normal by end of Jun,0x348cd9adf4f6855f58bd9c6dbf9ff251c4142ef77233a5dc95c65b4b61cd2187
1.79,30.0,15722.0,0.01,0.939,21,0.755,1758.0,4.5,20,Will AJ Dybantsa be the first pick in the 2026 NBA draft,0xaf13295bb3ad70cbb2939479477adb281b6b65a2362c1a5ea3fc9451644275f4
1.77,40.0,21539.0,0.01,0.999,26,0.525,32429.0,4.5,50,Will Crude Oil (CL) hit (LOW) $85 by end of June?,0xa4c71c6f43ceb1dec4b91e60cf22a4480f0b73683a3ea4aaba812ca20cba17e3
1.71,20.0,10717.0,0.012,0.895,11,0.843,4392.0,3.5,200,"Will SpaceX IPO by June 15, 2026?",0x13ca9f55fed9ce4094d90fe1ab5f63c0d371d1589dfffe247a3c1c13d6fb0477
1.69,40.0,22649.0,0.02,0.978,57,0.65,8257.0,4.5,200,"Will a Claude Mythos model be released by July 31, 2026?",0x8b0efe3767ddd2367eedc472ee9504077c273b01515c745af4fdb43563e16ab8
1.69,12.0,6116.0,0.02,0.922,27,0.21,208.0,4.5,50,Will Silver (XAGUSD) hit (HIGH) $88 in June?,0x5fd52c13265b14d9a451f2d57b7db6ebbf091869289a8e93223258e7891ac06f
1.68,15.0,7925.0,0.01,0.894,210,0.155,490.0,4.5,100,Will Qatar recognize Israel by December 31?,0x2e02dc37aefb1852448b111d62e9647bf2ed884239d910fa37221eaeb86b0de7
1.66,40.0,23143.0,0.01,0.973,26,0.335,6309.0,4.5,200,Will Trump agree to Iranian oil sanction relief by June ,0x639d8b6161b0f21aa3bbefc68223b09572d14228e903809b706c84443e8067ff
1.66,10.0,5031.0,0.01,0.956,211,0.715,533.0,4.5,200,Will OpenAI's valuation hit (HIGH) $1.5T by December 31?,0xc71dbe9724f537b220b58e35a0a023ca9f6883117b3723eecf6384c5b2c51d45
1.66,10.0,5028.0,0.04,0.972,26,0.67,560.0,4.5,50,Will Google have the best Math AI model at the end of Ju,0xd5eee50432903c45931da3e9eb94171579cd9513d1895a303ce736c94526fa17
1.65,15.0,8087.0,0.02,0.88,210,0.13,741.0,4.5,100,Will Venezuela recognize Israel by December 31?,0x5eb3964d1bb946a1034c6c32c8df4d5ac5e0b76a676e7e16280c1737aee06d2d
1.58,40.0,24312.0,0.01,0.998,26,0.455,31818.0,4.5,50,Will Crude Oil (CL) hit (HIGH) $105 by end of June?,0x86c4455035d81c512138b8e38ade7defdb46708d3ee43098cdc8429a7d3b9bd9
1.53,15.0,8836.0,0.001,0.995,210,0.5725,2463.0,4.5,100,Will a new country join the Abraham Accords before 2027?,0x0a26a2aeaee92f943b6a5649c4a096766f07675c6c710527fca730bd1e395797
1.53,10.0,5547.0,0.031,0.972,12,0.3295,5769.0,4.5,200,No change in the Selic rate after Bank of Brazil’s June ,0x0111a2756734a64f9d70fd6b8f8ed3bb583b19935a2fccc62b0c98b3f1557eac
1.53,20.0,12041.0,0.01,0.979,576,0.63,499.0,4.5,20,Tread FDV above $40M one day after launch,0x7f727e8f70f604ee886037325b53dbf2018974fc41d228b600c1e280e5f9ea85
1.51,20.0,12275.0,0.01,0.97,118,0.675,5755.0,3.5,100,"Will Claude 5 be released by September 30, 2026?",0x8ccd3fe9eccb2448cc4ec2873cd472b600107a35a3e6835e5ffe117c8267329f
1.51,12.0,6955.0,0.02,0.978,26,0.65,1472.0,4.5,50,Will there be between 0 and 10 average daily transits of,0x9d4936122603e355384ebd4c744fddb88155e963ef76ff0fec44d16d85f69fbd
1.47,16.0,9876.0,0.01,0.894,21,0.155,531.0,4.5,20,Will Darryn Peterson be the first pick in the 2026 NBA d,0xb6b2080f536c5cd602771b1918c5be119044d826e076b5fbe92753c2b243ed35
1.42,100.0,69388.0,0.01,0.963,57,0.695,12133.0,4.5,200,Will Donald Trump announce that the United States blocka,0x0549eb8269570dea333fe47ffff241827d93a22caed18f64f9a1eb4c3239c7f8
1.4,12.0,7553.0,0.02,0.978,27,0.38,206.0,4.5,50,"Will Tesla, Inc. (TSLA) hit (LOW) $375 in June?",0x33171e99aeee2ca60b8a00efafa71fe07c4501a13cde6877a7784e1717d1df52
1.35,11.0,7161.0,0.04,0.907,27,0.18,265.0,4.5,50,Will Microsoft Corporation (MSFT) hit (LOW) $390 in June,0x0546b4947b10f24497377cd68de2125f7cf9caa66d19c59381b9fd6081387c48
1.34,11.0,7235.0,0.03,0.989,179,0.395,2398.0,4.5,50,Will Iliana Iotova win the next Bulgarian presidential e,0x5512bfa9294bf914063ed120969908dee5cdf6e14293f28ca405d3ce4edcf485
1.33,20.0,14073.0,0.015,0.951,26,0.7275,203.0,4.5,200,Romanian PM Bolojan out by June 30?,0xd492cb60df4fb9f44ef36e840720c392f68ae7ba7cbbb671a27221c5a3ecdf08
1.31,30.0,21968.0,0.01,0.93,26,0.225,6437.0,4.5,200,Will Trump restart Project Freedom by June 30?,0xdfd4d487d004c266493bdf32551d7f018c7eb4b9325f42ac368dd5075eec36a9
1.3,70.0,52849.0,0.01,0.899,57,0.165,8302.0,4.5,200,Iran agrees to surrender enriched uranium stockpile by J,0xc11f41372087c4d934ae7adb869ff08272b2bcb3e242d4e628330353c130e480
1.28,38.0,28624.0,0.003,1.0,26,0.4885,10934.0,4.5,100,Will no qualifying diplomatic US-Iran meeting occur by J,0x189c38e8bf3733572f401f8d578099f7233baef3d5fcb438b4eeb0b73bacc787
1.23,20.0,15197.0,0.01,0.991,576,0.595,260.0,4.5,20,GMGN FDV above $200M one day after launch,0x46f40b14eff736735fae67b5576212cea35f96f44a54451d7cd85ff5cc2fa722
1.22,30.0,23627.0,0.01,0.96,575,0.295,13516.0,4.5,200,SpaceX IPO closing market cap above $2.6T?,0x9319e7f316532c47f6865fa813f984473bda9d67e60af1dec658c3c786767531
1.22,40.0,31698.0,0.01,0.96,26,0.295,36274.0,4.5,50,Will Crude Oil (CL) hit (HIGH) $110 by end of June?,0x82033ffc908562008e86493dde6695b264bcbb2ac094995629a8e84d58a92940
1.2,30.0,23952.0,0.02,0.922,575,0.79,66223.0,3.5,200,SpaceX IPO closing market cap above $2T?,0x6619036865c2d27f1b1c00cd565ce74f6aa72ef93be29c315be36941d3559c59
1.2,42.0,34030.0,0.02,0.922,38,0.21,717.0,4.5,100,Will a team from LPL (China) win MSI 2026?,0x9f61a4c01f2c8414b54fae93f7bad383593edea835ccd5c1990fa43422be1634
1.18,30.0,24495.0,0.005,0.993,210,0.5865,1797.0,4.5,200,Will Andy Burnham be the next Prime Minister of the Unit,0x763a7f1e440693b54c56da02d338c2092053567dd865174387d06ee5612fdc9e
1.17,30.0,24718.0,0.02,0.995,575,0.43,86609.0,3.5,200,SpaceX IPO closing market cap above $2.4T?,0xf471786ca9608b18a61e1f555681428c80ad2a2695fdd2df69e796defff9f897
1.15,50.0,42305.0,0.01,0.925,26,0.215,35969.0,3.5,200,Iran agrees to end enrichment of uranium by June 30?,0x9d3f02264a94bafc676afd7add8b11442e6ec72dabaa69cefef835f0672275c7
1.12,40.0,34700.0,0.01,0.956,26,0.285,30740.0,3.5,20,Will Crude Oil (CL) hit (LOW) $80 by end of June?,0xbaf252e7ac957d6636a6916da51892c9f42e59bfbf808bd4d8e16f194694d2b5
1.1,15.0,12693.0,0.01,0.882,210,0.135,368.0,4.5,100,Will Indonesia recognize Israel by December 31?,0x115600ff39dd7812512826e5e677b93a61f8523cf07cd3e927fb7c1e05a735f0
1.07,30.0,27136.0,0.01,1.0,210,0.505,1150.0,3.5,100,US x Cuba military clash in 2026?,0x333455a7be2dad4c981b49d700b80a0497c0274f72be3ab633a9ec020e80e884
1.06,38.0,34986.0,0.01,0.934,162,0.765,240.0,4.5,20,Will Shohei Ohtani win the 2026 National League MVP Awar,0x5244e82400ae4fb15981580bd5d6782f00ee0451c6d9b1dd04ac355f9ba76e53
1.06,40.0,36808.0,0.01,0.948,26,0.265,20809.0,4.5,200,Will Trump agree to unfreeze Iranian assets by June 30?,0xed25d03a2589af03a7a603e7c07c36d53baf38c148e50cc1f5a6a6f285d68862
1.05,400.0,381203.0,0.01,0.952,210,0.725,64501.0,3.5,200,"US x Iran permanent peace deal by December 31, 2026?",0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
1.03,200.0,193796.0,0.01,0.987,57,0.385,61529.0,4.5,200,Strait of Hormuz traffic returns to normal by July 31?,0xb8e6d129a06d0ccb21d7b32eb529ea455eddba3cf29bfa097112202cbdf5bf21
0.99,100.0,100389.0,0.01,1.0,88,0.495,25502.0,4.5,200,"US x Iran permanent peace deal by August 31, 2026?",0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c
0.98,30.0,29528.0,0.01,0.987,211,0.615,33585.0,3.5,100,Clarity Act signed into law in 2026?,0x9cb23d04b2ded06147482076688b69b487a8d982c63ebdda2ab3678cf27cf390
0.91,40.0,43017.0,0.02,0.972,210,0.33,8211.0,4.5,100,Will Benjamin Netanyahu be the next Prime Minister of Is,0x7586a96520578acaaaa4ea84a2582f197f84255da1f3392a7aa300386c187b37
0.91,20.0,20960.0,0.02,0.912,575,0.195,20403.0,4.5,200,SpaceX IPO closing market cap above $2.8T?,0x659ddeb762d5e28b0fe991e0ffe82dd0ce87a939f6658934d059cea31f3b7fac
0.88,10.0,10426.0,0.01,0.956,11,0.71,6580.0,3.5,50,"GPT-5.6 released by June 15, 2026?",0x1ff94ce9a874202523ac828138d0a2d5ffc2f3899fccbda5505909c51df76277
0.87,100.0,113313.0,0.01,0.982,149,0.635,9011.0,4.5,200,"US x Iran permanent peace deal by October 31, 2026?",0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0.86,33.0,37463.0,0.02,0.962,210,0.3,1101.0,4.5,100,Will Naftali Bennett be the next Prime Minister of Israe,0x9ed0ecc8b8589e67967d44c4420944a41b6a6806419019a1581d514174eee9b1
0.84,30.0,34548.0,0.03,1.0,210,0.515,5020.0,3.5,200,Iran agrees to end enrichment of uranium by December 31?,0xff68b32e6543ae8b44ccb520604b6ea224a1bac071a186fb65f6f40949a758df
0.84,70.0,82664.0,0.01,0.985,210,0.375,10493.0,3.5,200,Iran agrees to surrender enriched uranium stockpile by D,0xe846dd72f8a654ef137a3e23a88226400b42cc0ca817ab4390a615860e08cafa
0.83,10.0,11085.0,0.01,0.888,26,0.145,893.0,4.5,200,"US x Cuba economic deal by June 30, 2026?",0xe34380896d3df2ac2fcd753a01b3a8887acc335778c11e93af952fd273fca7fb
0.79,55.0,68243.0,0.01,0.91,210,0.185,3968.0,4.5,50,Will 1 Fed rate cut happen in 2026?,0x5e082f0b57f47a29044aa35b4c5658393122e659d5feae521c06b57cdd7f905c
0.77,121.0,155571.0,0.001,0.966,210,0.6885,32019.0,4.5,50,Will no Fed rate cuts happen in 2026?,0xd4e77ba6f29fc093509d24f508631abd445ecf506bbdc9c4c80e60256a318527
0.73,20.0,26282.0,0.02,0.954,211,0.72,805.0,4.5,20,Will Anthropic's valuation hit (HIGH) $1.5T by December ,0x91a003371cb96dc30511f883052d6b5957d9f099f02704f9838523a260dd1162
0.71,74.0,103414.0,0.01,0.999,17,0.465,32035.0,4.5,100,Will Vitality win IEM Cologne Major 2026?,0xdf6e9ed2eaf69707c7a1162a240ca025a02b0a5028dc286c9248769e0044bdf7
0.69,70.0,100373.0,0.01,0.977,210,0.655,13820.0,4.5,200,US-Iran nuclear deal before 2027?,0x182390641d3b1b47cc64274b9da290efd04221c586651ba190880713da6347d9
0.68,30.0,43118.0,0.01,0.92,210,0.205,433.0,4.5,200,"Russia x Ukraine ceasefire by October 31, 2026?",0xde5c4c7f05b34f4774d07fec9aa9cf880555f95ddcce4c7830ab09daecc493c4
0.67,20.0,28835.0,0.02,0.922,210,0.21,2973.0,4.5,200,Cuban regime falls in 2026?,0x656235664464bcadcc586acb871051dadb7c7343b7e805a5eccc02815e20d7df
0.66,150.0,227104.0,0.01,0.989,122,0.395,31929.0,4.5,200,Will Luiz Inácio Lula da Silva win the 2026 Brazilian pr,0xdf8e2dc5860027decbe6164555c3c1c9645c3bd33e16b9dc57ca87125047d4a8
0.65,13.0,18893.0,0.02,0.994,210,0.58,9434.0,4.5,50,Will Gustavo Petro be the next leader out before 2027?,0x45bdbc00baf989a4b8a51c20ada82148e1e1a43a05ab8767f4fd145eae418d57
0.65,10.0,14324.0,0.01,0.967,210,0.685,1495.0,4.5,200,Will Anthropic flip BTC by December 31?,0x5c0d7c74bbf6ef1e0114e6f75514e3360673e15b6542b78a95363a41c24089d3
0.64,300.0,470837.0,0.01,0.904,210,0.175,110108.0,3.5,200,Will the U.S. invade Iran before 2027?,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846
0.63,11.0,16559.0,0.01,0.952,101,0.725,248.0,4.5,50,Will Magdalena Andersson be the next Prime Minister of S,0x58d5cc2bf06a3289b127049239aee051f3b941f219efebbca02d3f50f0eb2a64
0.63,20.0,30967.0,0.01,0.96,57,0.295,12104.0,4.5,100,"Starmer out by July 31, 2026?",0x0efcc493f7e7578cd5808b29e08c2535dee61c2a1fe841696e76e7892b29cca8
0.62,10.0,15126.0,0.008,0.888,210,0.144,228.0,3.5,200,Will Alberta vote for independence in 2026?,0xfa036bb861dd01304a9ad13649947e8c4834a3accd3af872531bac6e0ada2129
0.6,100.0,166423.0,0.001,0.969,122,0.3215,77161.0,4.5,200,Will Flávio Bolsonaro win the 2026 Brazilian presidentia,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d
0.58,23.0,38673.0,0.007,0.935,210,0.2365,16661.0,4.5,100,Will Gadi Eizenkot be the next Prime Minister of Israel?,0xdbe93b5a701f36076a560fa4b9ba59e365a6e8e2ea6a83764640010657277ca4
0.58,10.0,16369.0,0.015,0.88,26,0.1305,1039.0,4.5,100,Will J.D. Vance attend the next US x Iran diplomatic mee,0x7e5228c4aa228752fb75ec1ffcb315a5f2fef812d746ceb6601cee285366d1a8
0.58,30.0,51162.0,0.01,0.963,210,0.305,940.0,4.5,200,"Russia x Ukraine ceasefire agreement by October 31, 2026",0x6c3f1009a0c91ba9f7aae44aeadf86863b0d433b60f7a090fd00c945019aa32f
0.56,50.0,87860.0,0.01,0.92,210,0.205,34637.0,3.5,200,US obtains Iranian enriched uranium by December 31?,0x58998da8fa20593cf07618032acd580344a79279a8bcc3ed128b668d793c3d6f
0.55,38.0,67764.0,0.002,0.958,210,0.7105,11848.0,4.5,100,Will Mojtaba Khamenei be head of state in Iran end of 20,0x25fb28382075f418a944a781a9f8840e2f541152eea0d9798d1cabfa1466adbb
0.55,100.0,181774.0,0.01,0.939,210,0.755,3418.0,4.5,200,Strait of Hormuz traffic returns to normal by December 3,0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc
0.49,10.0,19293.0,0.01,0.915,118,0.195,16339.0,5.5,100,Will Crude Oil reach a new all-time high by September 30,0x6a18969bc603992de4c5c9d53c2881e1378ac193cdad01e7f932afa7fdc4af3e
0.46,30.0,64471.0,0.01,0.967,210,0.315,150580.0,3.5,200,Ukraine signs peace deal with Russia before 2027?,0x4167e22670f31e5f93d132f78108f3fae809bd15cadf78983eff096845ed1415
0.46,10.0,20728.0,0.01,0.996,26,0.44,6821.0,4.5,200,Israeli parliament dissolved by June 30?,0x3f0bc2757babb8bb9971c9f782fe81f9db734c12d84822f1120a90681c991ff8
0.46,10.0,20734.0,0.01,0.877,211,0.125,1094.0,4.5,50,Florentino Perez out as Real Madrid president by Decembe,0x15f3839f5c907a939d287c6110ae2a9350c1360834210143d5cd7752f888b142
0.43,14.0,31507.0,0.01,0.996,210,0.565,1969.0,4.5,50,Will Spider-Man: Brand New Day be the top grossing movie,0xc4b07998e8f9bf6b95f079d6dc0529f3c6f59698d4e168817ad5f99304de6c57
0.43,30.0,69006.0,0.01,0.973,210,0.335,683.0,4.5,200,"Russia x Ukraine ceasefire by December 31, 2026?",0x84c625fdccf5c5246a15e476361e4563033906ee225800e1136c0d737596a72f
0.43,20.0,45992.0,0.01,0.991,211,0.595,1073.0,4.5,20,Will Anthropic's valuation hit (HIGH) $1.75T by December,0xc68fea7daba83292fdd7bb704f26d38c4f678cbc2ff69c4175d47c55e74b4321
0.42,30.0,70331.0,0.02,0.88,575,0.13,63131.0,3.5,200,SpaceX IPO closing market cap above $3T?,0x3f4b9f2f79e5664cacdf4afacde6c45e59a9e4abedf7b8d10bf5f07307f9566f
0.39,30.0,75441.0,0.01,0.956,210,0.285,28276.0,3.5,200,Iran leadership change by December 31?,0x377e7fe65cf198a7fc4fdae3f2136b74729279267858daaf96718b23bc2a5607
0.33,30.0,89688.0,0.01,0.92,210,0.205,59963.0,4.5,100,Will the U.S. invade Cuba in 2026?,0x80ebf0a88a44bf737d4047b3accd7108285c69b84257e5c684bdc4c715c81139
0.31,30.0,94652.0,0.02,1.0,210,0.49,89657.0,4.5,200,"Russia x Ukraine ceasefire agreement by December 31, 202",0x5c19f205507ce03ff5f3be08a8090a5969ea6870cc07b902a4ca2e61dfe48fdd
0.3,10.0,32473.0,0.01,0.967,27,0.685,32296.0,4.5,50,"Will Bitcoin reach $70,000 in June?",0xce6f2c7437b15b808a6be3ea61fc125077e35ce7cc55b66fdbf15f7ce22493ea
0.28,10.0,34580.0,0.03,0.997,211,0.445,575.0,4.5,20,Will Anthropic's valuation hit (HIGH) $2.0T by December ,0xf32da8a1740a0d58ffdf87343afefb0bcca4b355cc88e2dba8fd78a88a5308d2
0.27,12.0,44213.0,0.002,0.971,210,0.674,2380.0,4.5,50,Will Nicolás Maduro be the leader of Venezuela end of 20,0x67f3f8d0a0ecdfc008c99650284a4674388a8c3029b0eb7ca0abd65dde8d996f
0.26,20.0,76194.0,0.01,0.956,210,0.715,12373.0,3.5,200,"Starmer out by December 31, 2026?",0x2bde6486e7067f48ee21344d8b5c1af458732536eb4d080932c88c3a7c2d2126
0.24,10.0,39942.0,0.01,0.999,210,0.525,14590.0,3.5,100,Miguel Díaz-Canel out as leader of Cuba by December 31?,0x115374e9cb26f7c375f35cdfec08167024dbfc5a20f339806d81236ed25ab781
0.23,10.0,42345.0,0.01,0.894,210,0.155,12364.0,4.5,200,Will GameStop acquire eBay?,0x32e869cb0f7316273417ec79aa94c8a139f8c390ebff8a24150a18753d257f8e
0.18,100.0,566863.0,0.01,0.894,210,0.155,103484.0,3.5,200,Will the US confirm that aliens exist before 2027?,0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75
0.18,11.0,59537.0,0.01,0.904,17,0.175,76433.0,4.5,100,Will Team Spirit win IEM Cologne Major 2026?,0x10cfe107f46a1f4465e41501bebf20edda4f16ef47b702a4f45cacce90e01d16
0.18,10.0,54491.0,0.01,0.925,211,0.215,380.0,4.5,20,Will Anthropic's valuation hit (HIGH) $3.0T by December ,0xd594753a5d2b4d3b9e65cdd06c3cbb0645d70be7626fad94774f45560b150d23
0.08,11.0,145141.0,0.01,0.998,152,0.455,16684.0,4.5,50,"2026 Balance of Power: D Senate, D House",0x16c63b7cc37f012b9f59ee164ec03877914c701d06d48291ae8d6fc08a088b0d
0.04,10.0,256096.0,0.01,0.882,210,0.135,23713.0,3.5,200,Will the Iranian regime fall before 2027?,0xbb4d51e6364066d92eb6f9b8413dd7193de70966736044463b205834805a1f3b
